Subreactor,Growth Rates,Doubling_time(min)
reactorA,0.015760997435072387,43.978636721144916
reactorB,0.016860619269391027,41.11042242785786
reactorC,0.017555950990597563,39.48217791967943
reactorD,0.017429327923145877,39.76901367719731
